hour,wind,solar,coal,gas,DSM_up,DSM_down
185,7600.0,6400.0,3576.094617339597,0.0,0.0,886.9404115064171
186,6000.0,5514.546977227585,0.0,0.0,0.0,839.5084762325478
187,6400.0,4723.696849261241,0.0,0.0,260.9596639825195,0.0
188,6799.999999999999,-0.0,0.0,3509.404358492843,312.87093937738064,0.0
189,7200.0,-0.0,483.791586312298,4000.0,558.640011395315,0.0
190,7600.0,-0.0,0.0,3190.74394668033,242.48501100037174,0.0
191,6000.0,-0.0,942.9003253199044,4000.0,351.49326198337803,0.0
192,6400.0,-0.0,0.0,2731.0917338225136,0.0,886.9404115064171
193,6799.999999999999,-0.0,0.0,1164.3148835847887,0.0,839.5084762325478
194,7200.0,-0.0,0.0,957.8560590961315,260.9596639825195,0.0
195,7421.5913330004205,0.0,0.0,0.0,312.87093937738064,0.0
196,6000.0,-0.0,0.0,1552.1378847503483,558.640011395315,0.0
197,6400.0,-0.0,0.0,1349.3289774739933,242.48501100037174,0.0
198,6799.999999999999,-0.0,0.0,2943.0621159879947,351.49326198337803,0.0
199,7200.0,5286.051580188607,0.0,0.0,0.0,886.9404115064171
200,7600.0,5378.971102043024,0.0,0.0,0.0,839.5084762325478
201,6000.0,5756.676104964326,0.0,0.0,260.9596639825195,0.0
202,6400.0,4048.4970148774028,0.0,0.0,312.87093937738064,0.0
203,6799.999999999999,3702.185219230588,0.0,0.0,558.640011395315,0.0
204,7200.0,6400.0,2693.493096096834,0.0,242.48501100037174,0.0
205,7600.0,6400.0,0.0,0.0,351.49326198337803,0.0
206,6000.0,6400.0,4642.5737224566965,0.0,0.0,886.9404115064171
207,6400.0,6400.0,2738.8528854002598,0.0,0.0,839.5084762325478
208,6799.999999999999,6400.0,2892.3644803242187,0.0,260.9596639825195,0.0
209,7200.0,6400.0,391.83504397135584,0.0,312.87093937738064,0.0
210,7600.0,5061.093481923779,0.0,0.0,558.640011395315,0.0
211,6000.0,6387.220906756615,0.0,0.0,242.48501100037174,0.0
212,6400.0,-0.0,1889.8773708615918,4000.0,351.49326198337803,0.0
213,6799.999999999999,-0.0,2805.15255306559,4000.0,0.0,886.9404115064171
