hour,biomasse,wasserkraft,wind_offshore,wind_onshore,photovoltaik,sonstige_erneuerbare,braunkohle,steinkohle,erdgas,pumpspeicher,sonstige_konventionelle
297,1,1,0.4165,0.467,0.0080,1,1,1,1,1,1
298,1,1,0.44,0.4939,0.0220,1,1,1,1,1,1
299,1,1,0.4573,0.543,0.0320,1,1,1,1,1,1
300,1,1,0.4801,0.5743,0.0340,1,1,1,1,1,1
301,1,1,0.5146,0.572,0.0240,1,1,1,1,1,1
302,1,1,0.5768,0.5412,0.0140,1,1,1,1,1,1
303,1,1,0.6643,0.5479,0.0030,1,1,1,1,1,1
304,1,1,0.753,0.6082,0,1,1,1,1,1,1
305,1,1,0.8299,0.6541,0,1,1,1,1,1,1
306,1,1,0.8871,0.6782,0,1,1,1,1,1,1
307,1,1,0.9212,0.6996,0,1,1,1,1,1,1
308,1,1,0.9441,0.7171,0,1,1,1,1,1,1
309,1,1,0.9612,0.728,0,1,1,1,1,1,1
310,1,1,0.9712,0.7483,0,1,1,1,1,1,1
311,1,1,0.9765,0.7735,0,1,1,1,1,1,1
312,1,1,0.9802,0.7924,0,1,1,1,1,1,1
313,1,1,0.9821,0.8137,0,1,1,1,1,1,1
314,1,1,0.9833,0.8227,0,1,1,1,1,1,1
315,1,1,0.9829,0.8234,0,1,1,1,1,1,1
316,1,1,0.9812,0.822,0,1,1,1,1,1,1
317,1,1,0.9799,0.8208,0,1,1,1,1,1,1
318,1,1,0.9802,0.811,0,1,1,1,1,1,1
319,1,1,0.9818,0.7993,0,1,1,1,1,1,1
320,1,1,0.9836,0.7785,0.0110,1,1,1,1,1,1
321,1,1,0.9839,0.7587,0.0750,1,1,1,1,1,1
322,1,1,0.9834,0.7431,0.1400,1,1,1,1,1,1
323,1,1,0.9825,0.734,0.1900,1,1,1,1,1,1
324,1,1,0.9794,0.7245,0.1940,1,1,1,1,1,1
325,1,1,0.9734,0.7103,0.1610,1,1,1,1,1,1
326,1,1,0.9638,0.7023,0.1100,1,1,1,1,1,1
327,1,1,0.9565,0.7021,0.0410,1,1,1,1,1,1
328,1,1,0.9525,0.7093,0.0010,1,1,1,1,1,1
329,1,1,0.9512,0.7058,0,1,1,1,1,1,1
330,1,1,0.9504,0.6851,0,1,1,1,1,1,1
331,1,1,0.9452,0.6507,0,1,1,1,1,1,1
332,1,1,0.926,0.6048,0,1,1,1,1,1,1
333,1,1,0.9177,0.5553,0,1,1,1,1,1,1
334,1,1,0.9178,0.518,0,1,1,1,1,1,1
335,1,1,0.9009,0.4644,0,1,1,1,1,1,1
336,1,1,0.8879,0.4146,0,1,1,1,1,1,1
337,1,1,0.3703,0.1904,0,1,1,1,1,1,1
338,1,1,0.3854,0.2048,0,1,1,1,1,1,1
339,1,1,0.3982,0.2106,0,1,1,1,1,1,1
340,1,1,0.3933,0.219,0,1,1,1,1,1,1
341,1,1,0.3679,0.232,0,1,1,1,1,1,1
342,1,1,0.3349,0.2246,0.0500,1,1,1,1,1,1
343,1,1,0.3013,0.182,0.1920,1,1,1,1,1,1
344,1,1,0.274,0.173,0.3610,1,1,1,1,1,1
345,1,1,0.254,0.185,0.5110,1,1,1,1,1,1
346,1,1,0.2374,0.1872,0.6210,1,1,1,1,1,1
347,1,1,0.226,0.1873,0.6780,1,1,1,1,1,1
348,1,1,0.2294,0.1881,0.6880,1,1,1,1,1,1
349,1,1,0.2483,0.185,0.6510,1,1,1,1,1,1
350,1,1,0.2777,0.1774,0.5700,1,1,1,1,1,1
351,1,1,0.3021,0.1648,0.4490,1,1,1,1,1,1
352,1,1,0.3194,0.1496,0.2960,1,1,1,1,1,1
353,1,1,0.3287,0.1284,0.1370,1,1,1,1,1,1
354,1,1,0.3348,0.0986,0.0160,1,1,1,1,1,1
355,1,1,0.3465,0.0995,0,1,1,1,1,1,1
356,1,1,0.3617,0.1212,0,1,1,1,1,1,1
357,1,1,0.3801,0.1283,0,1,1,1,1,1,1
358,1,1,0.3962,0.13,0,1,1,1,1,1,1
359,1,1,0.4046,0.1346,0,1,1,1,1,1,1
360,1,1,0.4075,0.1487,0,1,1,1,1,1,1
361,1,1,0.4052,0.164,0,1,1,1,1,1,1
362,1,1,0.4045,0.182,0,1,1,1,1,1,1
363,1,1,0.4042,0.1935,0,1,1,1,1,1,1
364,1,1,0.4014,0.197,0,1,1,1,1,1,1
365,1,1,0.3953,0.2003,0,1,1,1,1,1,1
366,1,1,0.3787,0.1783,0.0460,1,1,1,1,1,1
367,1,1,0.3615,0.1401,0.1690,1,1,1,1,1,1
368,1,1,0.3504,0.133,0.3160,1,1,1,1,1,1
369,1,1,0.3535,0.1297,0.4310,1,1,1,1,1,1
370,1,1,0.3643,0.121,0.5070,1,1,1,1,1,1
371,1,1,0.3762,0.1153,0.5390,1,1,1,1,1,1
372,1,1,0.3838,0.1125,0.5230,1,1,1,1,1,1
373,1,1,0.3764,0.1129,0.4600,1,1,1,1,1,1
374,1,1,0.3586,0.1172,0.3610,1,1,1,1,1,1
375,1,1,0.3412,0.1224,0.2400,1,1,1,1,1,1
376,1,1,0.3258,0.1256,0.1270,1,1,1,1,1,1
377,1,1,0.3068,0.1184,0.0420,1,1,1,1,1,1
378,1,1,0.2834,0.0886,0.0020,1,1,1,1,1,1
379,1,1,0.2544,0.0841,0,1,1,1,1,1,1
380,1,1,0.2192,0.1032,0,1,1,1,1,1,1
381,1,1,0.1837,0.1076,0,1,1,1,1,1,1
382,1,1,0.1598,0.1077,0,1,1,1,1,1,1
383,1,1,0.1436,0.1092,0,1,1,1,1,1,1
384,1,1,0.1316,0.1103,0,1,1,1,1,1,1
385,1,1,0.1275,0.1158,0,1,1,1,1,1,1
386,1,1,0.1297,0.1235,0,1,1,1,1,1,1
387,1,1,0.1374,0.1312,0,1,1,1,1,1,1
388,1,1,0.1428,0.1377,0,1,1,1,1,1,1
389,1,1,0.1383,0.1427,0,1,1,1,1,1,1
390,1,1,0.1283,0.1298,0.0090,1,1,1,1,1,1
391,1,1,0.1135,0.1058,0.0490,1,1,1,1,1,1
392,1,1,0.1016,0.11,0.1090,1,1,1,1,1,1
393,1,1,0.0942,0.1122,0.1840,1,1,1,1,1,1
394,1,1,0.0908,0.1096,0.2590,1,1,1,1,1,1
395,1,1,0.0884,0.1072,0.3130,1,1,1,1,1,1
396,1,1,0.0846,0.1057,0.3380,1,1,1,1,1,1
397,1,1,0.0815,0.1046,0.3210,1,1,1,1,1,1
398,1,1,0.0844,0.1054,0.2660,1,1,1,1,1,1
399,1,1,0.0915,0.1111,0.1940,1,1,1,1,1,1
400,1,1,0.0988,0.1204,0.1150,1,1,1,1,1,1
401,1,1,0.1061,0.1262,0.0460,1,1,1,1,1,1
402,1,1,0.1082,0.1031,0.0030,1,1,1,1,1,1
403,1,1,0.106,0.0991,0,1,1,1,1,1,1
404,1,1,0.1009,0.1273,0,1,1,1,1,1,1
405,1,1,0.0966,0.1329,0,1,1,1,1,1,1
406,1,1,0.0928,0.1377,0,1,1,1,1,1,1
407,1,1,0.0881,0.1414,0,1,1,1,1,1,1
408,1,1,0.0871,0.1449,0,1,1,1,1,1,1
409,1,1,0.0907,0.1501,0,1,1,1,1,1,1
410,1,1,0.0994,0.1595,0,1,1,1,1,1,1
411,1,1,0.1132,0.1685,0,1,1,1,1,1,1
412,1,1,0.1229,0.1812,0,1,1,1,1,1,1
413,1,1,0.1252,0.1917,0,1,1,1,1,1,1
414,1,1,0.1193,0.1799,0.0200,1,1,1,1,1,1
415,1,1,0.1059,0.1359,0.0890,1,1,1,1,1,1
416,1,1,0.0892,0.121,0.1830,1,1,1,1,1,1
417,1,1,0.0716,0.11,0.2750,1,1,1,1,1,1
418,1,1,0.056,0.0998,0.3520,1,1,1,1,1,1
419,1,1,0.0451,0.0941,0.3950,1,1,1,1,1,1
420,1,1,0.0398,0.091,0.4140,1,1,1,1,1,1
421,1,1,0.042,0.0899,0.3920,1,1,1,1,1,1
422,1,1,0.0513,0.0925,0.3260,1,1,1,1,1,1
423,1,1,0.0648,0.1011,0.2340,1,1,1,1,1,1
424,1,1,0.0778,0.1125,0.1400,1,1,1,1,1,1
425,1,1,0.0872,0.1101,0.0520,1,1,1,1,1,1
426,1,1,0.0951,0.0731,0.0040,1,1,1,1,1,1
427,1,1,0.0999,0.0908,0,1,1,1,1,1,1
428,1,1,0.1007,0.1327,0,1,1,1,1,1,1
429,1,1,0.1006,0.1449,0,1,1,1,1,1,1
430,1,1,0.105,0.1578,0,1,1,1,1,1,1
431,1,1,0.1158,0.1732,0,1,1,1,1,1,1
432,1,1,0.1287,0.1889,0,1,1,1,1,1,1
433,1,1,0.1452,0.2087,0,1,1,1,1,1,1
434,1,1,0.1673,0.2287,0,1,1,1,1,1,1
435,1,1,0.1932,0.2527,0,1,1,1,1,1,1
436,1,1,0.2189,0.2765,0,1,1,1,1,1,1
437,1,1,0.2398,0.2933,0,1,1,1,1,1,1
438,1,1,0.2533,0.2808,0.0170,1,1,1,1,1,1
439,1,1,0.2576,0.2089,0.0700,1,1,1,1,1,1
